flightNumber;plane;dep_airport_code;arr_airport_code;delay
RYR8047; BOEING 737-800 WINGLETS;GRO;BHX;4
RYR7038; BOEING 737-800 WINGLETS;GRO;CAG;12
RYR6924; BOEING 737-800 WINGLETS;GRO;RBA;20
RYR4275; BOEING 737-800 WINGLETS;GRO;FRA;12
ANE2034; BOMBARDIER CRJ-1000;GRO;SVQ;10
RYR9123; BOEING 737-800 WINGLETS;GRO;EIN;4
RYR3213; BOEING 737-800 WINGLETS;GRO;MAN;10
RYR2344; BOEING 737-800 WINGLETS;GRO;NCL;28
RYR9803; BOEING 737-800 WINGLETS;GRO;STN;21
RYR4125; BOEING 737-800 WINGLETS;GRO;HHN;13
RYR6391; BOEING 737-800 WINGLETS;GRO;NRN;20
AEA5002; ATR-72;MLN;AGP;12
IBE8273; ATR-72;MLN;AGP;21
IBE8263; ATR-72;MLN;AGP;23
IBE8275; ATR-72;MLN;AGP;-15
IBE8791; ATR-72;MLN;MAD;10
IBE8269; ATR-72;MLN;AGP;39
IBE8793; ATR-72;MLN;MAD;9
IBE8277; ATR-72;MLN;AGP;13
AEA5004; ATR-72;MLN;AGP;-7
IBE8261; ATR-72;MLN;AGP;11
IBE8789; ATR-72;MLN;MAD;26
AEA5002; ATR-72;MLN;AGP;8
IBE8273; ATR-72;MLN;AGP;5
VLG1574; AIRBUS A320;OVD;BCN;2
IBE0479; AIRBUS A321;OVD;MAD;10
VLG8860; AIRBUS A320;OVD;CDG;9
IBE0475; AIRBUS A321;OVD;MAD;41
VLG1628; AIRBUS A320;OVD;AGP;12
VLG7314; AIRBUS A320;OVD;LGW;11
IBS3983; AIRBUS A320;OVD;MAD;32
VOE3925; BOEING 717;OVD;AGP;15
IBE0487; AIRBUS A319;OVD;MAD;9
EZY3084; AIRBUS A319;OVD;STN;15
VLG1578; AIRBUS A320;OVD;BCN;21
VOE3831; BOEING 717;OVD;SVQ;14
TAP1113; ATR-72;OVD;LIS;8
IBE0481; AIRBUS A321;OVD;MAD;13
VLG1572; AIRBUS A320;OVD;BCN;19
RYR6333; BOEING 737-800 WINGLETS;SCQ;BCN;12
IBS3877; AIRBUS A320;SCQ;MAD;12
VLG1671; 32A;SCQ;BCN;6
EZS1180; AIRBUS A319;SCQ;BSL;24
VLG6481; AIRBUS A320;SCQ;FCO;9
RYR8379; BOEING 737-800 WINGLETS;SCQ;STN;6
EVE1120; AIRBUS A320;SCQ;ALC;19
